displacement_ccm,power_hp,torque_nm,top_speed_kmh,dry_weight_kg,fuel_capacity_l,seat_height_mm,wheelbase_mm,power_weight_ratio,power_rpm,torque_rpm,bore_mm,stroke_mm,compression_ratio,rating,year,category,cooling,transmission,fuel_system,brand
241.5000,23.1000,21.4000,110.0000,308.0000,18.0000,,1470.0000,0.0749,8500.0000,6500.0000,,,,,2025.0000,Sport touring,Liquid,Belt,Injection,Jonway
,,162.7000,178.6000,365.1000,16.0100,729.0000,1730.0000,0.2492,,3000.0000,107.1000,100.0000,9.6000,,,,Oil & air,Shaft,Injection,
,,43.5000,,159.0000,13.0000,800.0000,1349.0000,0.2994,,6700.0000,69.0000,61.1000,10.5000,,,,Liquid,Chain,Injection,
124.8000,,,,99.5000,9.0000,956.0000,1489.0000,,,,54.0000,54.5000,13.5000,,2025.0000,Enduro / offroad,Liquid,Chain,Injection,
,,11.2000,,,14.5000,820.0000,1350.0000,,,8000.0000,58.0000,47.0000,12.6000,,,,Liquid,Chain,,
,,157.3000,178.6000,,23.8500,719.0000,1694.0000,,,3000.0000,107.1000,100.0000,9.6000,,,,Oil & air,Shaft,Injection,
,,109.8000,215.7000,,15.9000,795.0000,1519.0000,,,6000.0000,101.0000,73.0000,12.0000,,,,Oil & air,Shaft,Injection,
,,12.0000,110.0000,183.0000,13.0000,,1470.0000,0.0608,,5500.0000,,,,,,,Air,Belt,Injection,
,,167.0000,,,21.0100,744.0000,1699.0000,,,4000.0000,73.0000,73.0000,10.5000,,,,Liquid,Shaft,Injection,
,,10.5000,,,7.0000,930.0000,1443.0000,,,7500.0000,58.0000,47.0000,12.0000,,,,Liquid,Chain,Injection,FB Mondial
659.0000,,67.0000,235.0000,169.0000,15.0000,820.0000,1370.0000,0.5917,,8500.0000,81.0000,63.9000,13.5000,,,Sport,Liquid,Chain,Injection,Aprilia
,,170.0000,,,20.8200,745.0000,1699.0000,,,4500.0000,73.0000,73.0000,10.5000,,,,Liquid,Shaft,Injection,Honda
,,57.9000,,,18.9300,909.0000,1285.0000,,,4750.0000,85.0000,66.0000,9.3000,,,,Liquid,Shaft,Injection,
449.5000,,39.1000,,,10.0000,820.0000,1398.0000,,,7600.0000,72.0000,55.2000,11.5000,,,Naked bike,Liquid,Chain,Injection,FB Mondial
,,,120.0000,,,650.0000,1455.0000,,,,,,,,,,Air,,,
1833.0000,118.0000,167.0000,,,21.0100,744.0000,1699.0000,,5500.0000,4000.0000,73.0000,73.0000,10.5000,,2025.0000,Touring,Liquid,Shaft,Injection,Honda
1802.0000,91.0000,162.7000,178.6000,374.2000,16.0100,719.0000,1720.0000,0.2432,4750.0000,3000.0000,107.1000,100.0000,9.6000,,2025.0000,Custom / cruiser,Oil & air,Shaft,Injection,BMW
1833.0000,,170.0000,,,20.8200,745.0000,1699.0000,,,4500.0000,73.0000,73.0000,10.5000,,,Touring,Liquid,Shaft,Injection,
,,,235.0000,169.0000,15.0000,820.0000,1370.0000,0.2778,,,81.0000,63.9000,13.5000,,,,Liquid,Chain,Injection,
124.0000,9.9000,11.0000,,,6.0600,761.0000,1200.0000,,7250.0000,6000.0000,50.0000,63.1000,10.0000,,2025.0000,"Minibike, sport",Air,Chain,Injection,Honda
,,25.0000,,,17.0000,840.0000,1343.0000,,,7200.0000,78.0000,61.2000,11.0000,,,,Liquid,Chain,Injection,
271.0000,21.5000,21.6000,,,12.1100,845.0000,1165.0000,,7500.0000,6500.0000,72.7000,65.2000,11.0000,,2025.0000,ATV,Liquid,Shaft,Carburettor,Kawasaki
749.0000,,57.9000,,,19.0000,910.0000,1285.0000,,,4750.0000,85.0000,66.0000,9.3000,,,ATV,Liquid,Shaft,Injection,
,,,,107.6000,9.0000,956.0000,1489.0000,,,,66.4000,72.0000,,,,,Liquid,Chain,Injection,GAS GAS
1802.0000,,162.7000,178.6000,,23.8500,739.0000,1689.0000,,,3000.0000,107.1000,100.0000,9.6000,,,Touring,Oil & air,Shaft,Injection,
249.9000,,,,109.5000,9.0000,956.0000,1489.0000,,,,81.0000,48.5000,14.4000,,2025.0000,Enduro / offroad,Liquid,Chain,Injection,GAS GAS
659.0000,100.0000,67.0000,235.0000,166.0000,15.0000,820.0000,1370.0000,0.6024,10500.0000,8500.0000,81.0000,63.9000,13.5000,,2025.0000,Sport,Liquid,Chain,Injection,
999.0000,170.0000,114.0000,193.1000,177.0000,16.2800,831.0000,1448.0000,0.9605,11000.0000,9250.0000,80.0000,49.7000,12.5000,,2025.0000,Naked bike,Liquid,Chain,Injection,
659.0000,105.0000,68.0000,235.0000,166.0000,15.0000,820.0000,1382.0000,0.6325,10500.0000,8500.0000,81.0000,63.9000,13.5000,,2025.0000,Sport,Liquid,Chain,Injection,
293.2000,,,,107.6000,9.0000,956.0000,1489.0000,,,,72.0000,72.0000,,,,Enduro / offroad,Liquid,Chain,Injection,
,,125.0000,305.0000,179.0000,17.9000,845.0000,1436.0000,1.2123,,10500.0000,81.0000,52.3000,13.6000,,,,Liquid,Chain,Injection,
