displacement_ccm,power_hp,torque_nm,top_speed_kmh,dry_weight_kg,fuel_capacity_l,seat_height_mm,wheelbase_mm,bore_mm,stroke_mm,compression_ratio,power_weight_ratio,power_rpm,category,cooling,transmission,fuel_system,brand,rating,year
124.8000,,,,99.5000,9.0000,956.0000,1489.0000,54.0000,54.5000,13.5000,,,Enduro / offroad,Liquid,Chain,Injection,,,2025.0000
659.0000,,67.0000,235.0000,169.0000,15.0000,820.0000,1370.0000,81.0000,63.9000,13.5000,0.5917,,Sport,Liquid,Chain,Injection,Aprilia,,
1802.0000,91.0000,162.7000,178.6000,374.2000,16.0100,719.0000,1720.0000,107.1000,100.0000,9.6000,0.2432,4750.0000,Custom / cruiser,Oil & air,Shaft,Injection,BMW,,2025.0000
249.9000,,,,109.5000,9.0000,956.0000,1489.0000,81.0000,48.5000,14.4000,,,Enduro / offroad,Liquid,Chain,Injection,GAS GAS,,2025.0000
659.0000,100.0000,67.0000,235.0000,166.0000,15.0000,820.0000,1370.0000,81.0000,63.9000,13.5000,0.6024,10500.0000,Sport,Liquid,Chain,Injection,,,2025.0000
999.0000,170.0000,114.0000,193.1000,177.0000,16.2800,831.0000,1448.0000,80.0000,49.7000,12.5000,0.9605,11000.0000,Naked bike,Liquid,Chain,Injection,,,2025.0000
659.0000,105.0000,68.0000,235.0000,166.0000,15.0000,820.0000,1382.0000,81.0000,63.9000,13.5000,0.6325,10500.0000,Sport,Liquid,Chain,Injection,,,2025.0000
293.2000,,,,107.6000,9.0000,956.0000,1489.0000,72.0000,72.0000,,,,Enduro / offroad,Liquid,Chain,Injection,,,
999.0000,205.0000,112.6000,302.6000,175.0000,16.5000,831.0000,1455.0000,80.0000,49.7000,13.3000,1.1714,13000.0000,Sport,Liquid,Chain,Injection,,3.3000,2025.0000
1099.0000,217.0000,125.0000,,177.0000,17.9000,845.0000,1436.0000,81.0000,53.3000,13.6000,1.2260,13000.0000,Sport,Liquid,Chain,Injection,Aprilia,,2025.0000
124.2000,,11.2000,,124.0000,7.0000,905.0000,1430.0000,58.0000,47.0000,12.6000,0.1210,,Enduro / offroad,Liquid,Chain,Injection,,,
449.9000,,,,110.7000,9.0000,956.0000,1489.0000,95.0000,63.4000,12.8000,,,Enduro / offroad,Liquid,Chain,Carburettor,,,
997.0000,225.0000,,,175.0000,,851.0000,1461.0000,94.0000,71.8000,,1.2857,,Sport,Oil & air,Chain,Turbo,,,2025.0000
510.9000,74.0000,73.5000,,116.4000,9.0000,956.0000,1489.0000,95.0000,72.0000,12.8000,0.6357,8000.0000,Enduro / offroad,Liquid,Chain,Injection,,,2025.0000
1330.0000,,130.2000,,470.0000,26.8700,843.0000,1718.0000,84.0000,80.0000,,0.2447,,Allround,Liquid,,Injection,,,
293.2000,,,,102.3000,9.0000,956.0000,1489.0000,72.0000,72.0000,,,,Enduro / offroad,Liquid,Chain,Injection,GAS GAS,,
349.7000,,23.0000,,104.7000,9.0000,956.0000,1489.0000,88.0000,57.5000,14.6000,,,Enduro / offroad,Liquid,Chain,Injection,,,2025.0000
