,displacement_ccm,power_hp,torque_nm,top_speed_kmh,dry_weight_kg,fuel_capacity_l,seat_height_mm,wheelbase_mm,bore_mm,stroke_mm,compression_ratio,power_weight_ratio,power_rpm,rating,year
displacement_ccm,1.0000,0.8040,0.9680,0.7370,0.7900,0.6860,-0.2390,0.6740,0.7540,0.7140,0.0840,0.6330,-0.0620,0.2900,0.0100
power_hp,0.8040,1.0000,0.7950,0.8930,0.5410,0.6190,0.1240,0.4820,0.5970,0.2110,0.4790,0.9230,0.3910,0.3350,0.1650
torque_nm,0.9680,0.7950,1.0000,0.5590,0.6640,0.7020,-0.1350,0.6010,0.7790,0.6130,0.2670,0.6260,0.0040,0.2790,0.0290
top_speed_kmh,0.7370,0.8930,0.5590,1.0000,0.5090,0.6430,0.2200,0.4860,0.5390,0.1440,0.4100,0.8950,0.4160,0.3950,-0.0640
dry_weight_kg,0.7900,0.5410,0.6640,0.5090,1.0000,0.7770,-0.2740,0.6560,0.6470,0.7080,0.0120,0.2900,-0.1400,0.2460,0.0440
fuel_capacity_l,0.6860,0.6190,0.7020,0.6430,0.7770,1.0000,-0.0660,0.5630,0.5370,0.4170,0.0370,0.4770,0.0490,0.2440,-0.1520
seat_height_mm,-0.2390,0.1240,-0.1350,0.2200,-0.2740,-0.0660,1.0000,-0.0340,0.0470,-0.2620,0.3950,0.2390,0.3410,0.0330,0.1010
wheelbase_mm,0.6740,0.4820,0.6010,0.4860,0.6560,0.5630,-0.0340,1.0000,0.6230,0.6050,0.1230,0.3220,-0.0940,0.1990,0.0180
bore_mm,0.7540,0.5970,0.7790,0.5390,0.6470,0.5370,0.0470,0.6230,1.0000,0.7160,0.1450,0.5970,-0.1220,0.2480,0.0840
stroke_mm,0.7140,0.2110,0.6130,0.1440,0.7080,0.4170,-0.2620,0.6050,0.7160,1.0000,-0.2370,0.1130,-0.5580,0.1310,-0.1160
compression_ratio,0.0840,0.4790,0.2670,0.4100,0.0120,0.0370,0.3950,0.1230,0.1450,-0.2370,1.0000,0.6180,0.6040,0.1440,0.5220
power_weight_ratio,0.6330,0.9230,0.6260,0.8950,0.2900,0.4770,0.2390,0.3220,0.5970,0.1130,0.6180,1.0000,0.5040,0.3930,0.1550
power_rpm,-0.0620,0.3910,0.0040,0.4160,-0.1400,0.0490,0.3410,-0.0940,-0.1220,-0.5580,0.6040,0.5040,1.0000,0.1620,0.3520
rating,0.2900,0.3350,0.2790,0.3950,0.2460,0.2440,0.0330,0.1990,0.2480,0.1310,0.1440,0.3930,0.1620,1.0000,0.0730
year,0.0100,0.1650,0.0290,-0.0640,0.0440,-0.1520,0.1010,0.0180,0.0840,-0.1160,0.5220,0.1550,0.3520,0.0730,1.0000
