,count,mean,std,min,25%,50%,75%,max,skew,missing_%
displacement_ccm,21002.0000,537.2470,475.9280,25.0000,125.0000,395.0000,799.0000,2575.0000,1.1140,50.6600
power_hp,7659.0000,50.0120,48.7360,1.0000,12.2000,30.0000,75.0000,357.0000,1.5110,82.0100
torque_nm,19396.0000,63.2130,57.8740,1.5000,12.2000,55.6000,101.0000,600.0000,2.3120,54.4300
top_speed_kmh,13973.0000,137.4270,58.2780,20.0000,95.0000,130.0000,176.0000,439.4000,0.5470,67.1700
dry_weight_kg,24630.0000,163.5660,83.7220,20.0000,105.0000,145.0000,199.0000,700.0000,1.5650,42.1300
fuel_capacity_l,35429.0000,13.1590,5.9930,1.0000,8.0000,13.0000,17.0300,54.0000,0.4230,16.7600
seat_height_mm,27909.0000,791.2320,85.5760,400.0000,750.0000,790.0000,833.0000,998.0000,-0.2240,34.4300
wheelbase_mm,29117.0000,1420.6590,163.5190,725.0000,1325.0000,1422.0000,1499.0000,2184.0000,0.0950,31.5900
power_weight_ratio,16801.0000,0.2700,0.2550,0.0040,0.0890,0.1620,0.3870,2.2980,1.6690,60.5300
power_rpm,6687.0000,7752.2780,1882.3630,510.0000,6500.0000,7500.0000,8900.0000,15500.0000,0.3950,84.2900
torque_rpm,17822.0000,6220.8370,1960.1240,163.0000,5000.0000,6250.0000,7300.0000,14500.0000,0.2650,58.1300
bore_mm,31827.0000,72.7030,18.6590,28.0000,57.0000,73.0000,88.0000,133.1000,-0.0410,25.2300
stroke_mm,31791.0000,64.7070,17.6880,33.0000,53.6000,61.2000,72.0000,156.0000,1.0100,25.3100
compression_ratio,25909.0000,10.2220,1.7350,4.5000,9.2000,10.0000,11.5000,18.0000,0.0210,39.1300
rating,23513.0000,3.4130,0.3790,0.9000,3.2000,3.4000,3.7000,4.7000,-0.7280,44.7600
year,10983.0000,2004.2190,20.3470,1895.0000,1999.5000,2010.0000,2018.0000,2025.0000,-1.8190,74.2000
