,missing_%,non_null
power_rpm,84.2900,6687
power_hp,82.0100,7659
year,74.2000,10983
top_speed_kmh,67.1700,13973
brand,66.6200,14206
power_weight_ratio,60.5300,16801
torque_rpm,58.1300,17822
torque_nm,54.4300,19396
displacement_ccm,50.6600,21002
category,49.9800,21290
rating,44.7600,23513
dry_weight_kg,42.1300,24630
compression_ratio,39.1300,25909
seat_height_mm,34.4300,27909
wheelbase_mm,31.5900,29117
fuel_system,25.9300,31529
stroke_mm,25.3100,31791
bore_mm,25.2300,31827
fuel_capacity_l,16.7600,35429
transmission,13.6400,36757
cooling,10.2300,38210
